Площадь,Периметр,C,Длина_1,Ширина,Коэфф,Длина_2,Target
15.26,14.84,0.871,5.763,3.312,2.221,5.22,Kama
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,Kama
14.29,14.09,0.905,5.291,3.337,2.699,4.825,Kama
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,Kama
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,Kama
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,Kama
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,Kama
14.11,14.1,0.8911,5.42,3.302,2.7,5,Kama
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,Kama
16.44,15.25,0.888,5.884,3.505,1.969,5.533,Kama
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,Kama
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,Kama
13.89,14.02,0.888,5.439,3.199,3.986,4.738,Kama
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,Kama
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,Kama
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,Kama
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,Kama
15.69,14.75,0.9058,5.527,3.514,1.599,5.046,Kama
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,Kama
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,Kama
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,Kama
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,Kama
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,Kama
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,Kama
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,Kama
16.19,15.16,0.8849,5.833,3.421,0.903,5.307,Kama
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,Kama
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,Kama
14.11,14.18,0.882,5.541,3.221,2.754,5.038,Kama
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,Kama
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,Kama
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,Kama
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,Kama
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,Kama
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,Kama
16.12,15,0.9,5.709,3.485,2.27,5.443,Kama
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,Kama
17.08,15.38,0.9079,5.832,3.683,2.956,5.484,Kama
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,Kama
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,Kama
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,Kama
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,Kama
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,Kama
15.5,14.86,0.882,5.877,3.396,4.711,5.528,Kama
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,Kama
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,Kama
15.36,14.76,0.8861,5.701,3.393,1.367,5.132,Kama
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,Kama
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,Kama
14.86,14.67,0.8676,5.678,3.258,2.129,5.351,Kama
13.07,13.92,0.848,5.472,2.994,5.304,5.395,Canadian
13.32,13.94,0.8613,5.541,3.073,7.035,5.44,Canadian
13.34,13.95,0.862,5.389,3.074,5.995,5.307,Canadian
12.22,13.32,0.8652,5.224,2.967,5.469,5.221,Canadian
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,Canadian
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,Canadian
11.43,13.13,0.8335,5.176,2.719,2.221,5.132,Canadian
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,Canadian
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,Canadian
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,Canadian
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,Canadian
12.01,13.52,0.8249,5.405,2.776,6.992,5.27,Canadian
12.26,13.6,0.8333,5.408,2.833,4.756,5.36,Canadian
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,Canadian
11.36,13.05,0.8382,5.175,2.755,4.048,5.263,Canadian
11.19,13.05,0.8253,5.25,2.675,5.813,5.219,Canadian
11.34,12.87,0.8596,5.053,2.849,3.347,5.003,Canadian
12.13,13.73,0.8081,5.394,2.745,4.825,5.22,Canadian
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,Canadian
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,Canadian
12.54,13.67,0.8425,5.451,2.879,3.082,5.491,Canadian
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,Canadian
12.05,13.41,0.8416,5.267,2.847,4.988,5.046,Canadian
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,Canadian
11.14,12.79,0.8558,5.011,2.794,6.388,5.049,Canadian
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,Canadian
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,Canadian
12.15,13.45,0.8443,5.417,2.837,3.638,5.338,Canadian
11.35,13.12,0.8291,5.176,2.668,4.337,5.132,Canadian
11.24,13,0.8359,5.09,2.715,3.521,5.088,Canadian
11.02,13,0.8189,5.325,2.701,6.735,5.163,Canadian
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,Canadian
11.27,12.97,0.8419,5.088,2.763,4.309,5,Canadian
11.4,13.08,0.8375,5.136,2.763,5.588,5.089,Canadian
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,Canadian
10.8,12.57,0.859,4.981,2.821,4.773,5.063,Canadian
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,Canadian
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,Canadian
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,Canadian
12.21,13.47,0.8453,5.357,2.893,1.661,5.178,Canadian
11.41,12.95,0.856,5.09,2.775,4.957,4.825,Canadian
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,Canadian
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,Canadian
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,Canadian
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,Canadian
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,Canadian
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,Canadian
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,Canadian
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,Canadian
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,Canadian